InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice
INV00105,95369,Soto Ayam,2,03/15/2025 00:00,20.0
INV00105,93997,Kopi Susu,3,03/15/2025 00:00,12.0
INV00105,83818,Ayam Geprek,3,03/15/2025 00:00,22.0
INV00106,43304,Nasi Goreng,2,03/03/2025 00:00,20.0
INV00106,90058,Rendang,1,03/03/2025 00:00,30.0
INV00107,24958,Soto Ayam,1,02/27/2025 00:00,20.0
INV00107,34602,Jus Alpukat,2,02/27/2025 00:00,10.0
INV00107,10757,Sate Ayam,2,02/27/2025 00:00,25.0
INV00107,24924,Mie Ayam,3,02/27/2025 00:00,15.0
INV00107,98065,Nasi Goreng,1,02/27/2025 00:00,20.0
INV00108,83142,Jus Alpukat,3,03/07/2025 00:00,10.0
INV00109,83624,Sate Ayam,3,03/19/2025 00:00,25.0
INV00109,53351,Soto Ayam,2,03/19/2025 00:00,20.0
INV00109,86334,Rendang,3,03/19/2025 00:00,30.0
INV00109,70871,Mie Ayam,3,03/19/2025 00:00,15.0
INV00110,43184,Jus Alpukat,1,03/20/2025 00:00,10.0
INV00111,86500,Bakso,2,03/05/2025 00:00,18.0
INV00111,48291,Jus Alpukat,2,03/05/2025 00:00,10.0
INV00111,15045,Ayam Geprek,3,03/05/2025 00:00,22.0
INV00111,91847,Rendang,1,03/05/2025 00:00,30.0
INV00112,62664,Ayam Geprek,2,03/08/2025 00:00,22.0
INV00112,50611,Nasi Goreng,1,03/08/2025 00:00,20.0
INV00112,86880,Es Teh,1,03/08/2025 00:00,5.0
INV00112,42627,Rendang,3,03/08/2025 00:00,30.0
INV00112,31357,Mie Ayam,1,03/08/2025 00:00,15.0
INV00113,93991,Kopi Susu,3,02/23/2025 00:00,12.0
INV00113,23234,Soto Ayam,3,02/23/2025 00:00,20.0
INV00113,92388,Bakso,2,02/23/2025 00:00,18.0
INV00113,45105,Mie Ayam,1,02/23/2025 00:00,15.0
INV00113,27191,Ayam Geprek,2,02/23/2025 00:00,22.0
INV00114,16789,Sate Ayam,1,02/24/2025 00:00,25.0
INV00114,48062,Es Teh,1,02/24/2025 00:00,5.0
INV00114,25780,Bakso,3,02/24/2025 00:00,18.0
INV00114,22451,Soto Ayam,3,02/24/2025 00:00,20.0
INV00114,21368,Ayam Geprek,2,02/24/2025 00:00,22.0
INV00115,22972,Rendang,1,03/11/2025 00:00,30.0
INV00115,40563,Nasi Goreng,2,03/11/2025 00:00,20.0
INV00115,36908,Bakso,1,03/11/2025 00:00,18.0
INV00115,96057,Sate Ayam,3,03/11/2025 00:00,25.0
INV00115,95161,Jus Alpukat,3,03/11/2025 00:00,10.0
INV00116,82421,Mie Ayam,2,02/13/2025 00:00,15.0
INV00116,66030,Ayam Geprek,1,02/13/2025 00:00,22.0
INV00116,43271,Soto Ayam,2,02/13/2025 00:00,20.0
INV00116,68723,Kopi Susu,2,02/13/2025 00:00,12.0
INV00117,39453,Ayam Geprek,3,02/14/2025 00:00,22.0
INV00117,27901,Soto Ayam,2,02/14/2025 00:00,20.0
INV00117,56210,Nasi Goreng,2,02/14/2025 00:00,20.0
INV00117,75904,Bakso,2,02/14/2025 00:00,18.0
INV00117,61210,Jus Alpukat,2,02/14/2025 00:00,10.0
INV00118,23851,Jus Alpukat,1,02/09/2025 00:00,10.0
INV00119,87885,Rendang,1,03/28/2025 00:00,30.0
INV00119,98307,Kopi Susu,1,03/28/2025 00:00,12.0
INV00119,48330,Sate Ayam,1,03/28/2025 00:00,25.0
INV00120,42768,Nasi Goreng,3,03/11/2025 00:00,20.0
INV00120,32198,Bakso,2,03/11/2025 00:00,18.0
INV00120,55591,Jus Alpukat,3,03/11/2025 00:00,10.0
INV00120,82616,Sate Ayam,1,03/11/2025 00:00,25.0
INV00121,97627,Kopi Susu,2,02/14/2025 00:00,12.0
INV00121,44610,Es Teh,2,02/14/2025 00:00,5.0
INV00121,57835,Jus Alpukat,3,02/14/2025 00:00,10.0
INV00121,59676,Mie Ayam,3,02/14/2025 00:00,15.0
INV00121,86288,Ayam Geprek,1,02/14/2025 00:00,22.0
INV00122,49889,Mie Ayam,1,03/01/2025 00:00,15.0
INV00122,67098,Nasi Goreng,2,03/01/2025 00:00,20.0
INV00123,85688,Kopi Susu,1,03/20/2025 00:00,12.0
INV00123,45538,Rendang,3,03/20/2025 00:00,30.0
INV00124,18417,Soto Ayam,3,03/16/2025 00:00,20.0
INV00124,52747,Jus Alpukat,1,03/16/2025 00:00,10.0
INV00124,67131,Sate Ayam,3,03/16/2025 00:00,25.0
INV00124,84909,Nasi Goreng,3,03/16/2025 00:00,20.0
INV00124,85101,Mie Ayam,2,03/16/2025 00:00,15.0
INV00125,64577,Bakso,3,02/09/2025 00:00,18.0
INV00125,43234,Es Teh,2,02/09/2025 00:00,5.0
INV00125,96931,Sate Ayam,1,02/09/2025 00:00,25.0
INV00126,52573,Sate Ayam,1,03/12/2025 00:00,25.0
INV00126,70264,Mie Ayam,1,03/12/2025 00:00,15.0
INV00126,97089,Es Teh,3,03/12/2025 00:00,5.0
INV00126,85466,Soto Ayam,3,03/12/2025 00:00,20.0
INV00127,94871,Kopi Susu,3,02/12/2025 00:00,12.0
INV00127,50664,Rendang,3,02/12/2025 00:00,30.0
INV00127,63061,Ayam Geprek,3,02/12/2025 00:00,22.0
INV00127,99978,Nasi Goreng,1,02/12/2025 00:00,20.0
INV00127,89467,Sate Ayam,3,02/12/2025 00:00,25.0
INV00128,63948,Mie Ayam,3,02/22/2025 00:00,15.0
INV00128,61930,Es Teh,2,02/22/2025 00:00,5.0
INV00128,62503,Jus Alpukat,3,02/22/2025 00:00,10.0
INV00128,27519,Rendang,2,02/22/2025 00:00,30.0
INV00128,27060,Nasi Goreng,2,02/22/2025 00:00,20.0
INV00129,62957,Jus Alpukat,2,03/07/2025 00:00,10.0
INV00129,69589,Es Teh,1,03/07/2025 00:00,5.0
INV00130,29543,Ayam Geprek,3,02/27/2025 00:00,22.0
INV00131,41568,Es Teh,3,03/25/2025 00:00,5.0
INV00131,64081,Mie Ayam,2,03/25/2025 00:00,15.0
INV00131,96594,Rendang,2,03/25/2025 00:00,30.0
INV00131,62914,Bakso,1,03/25/2025 00:00,18.0
INV00132,71805,Jus Alpukat,2,03/20/2025 00:00,10.0
INV00132,58938,Kopi Susu,3,03/20/2025 00:00,12.0
INV00132,21743,Bakso,3,03/20/2025 00:00,18.0
INV00132,64995,Nasi Goreng,3,03/20/2025 00:00,20.0
INV00132,32090,Mie Ayam,1,03/20/2025 00:00,15.0
INV00133,87372,Ayam Geprek,1,02/03/2025 00:00,22.0
INV00133,28077,Soto Ayam,2,02/03/2025 00:00,20.0
INV00133,73286,Es Teh,1,02/03/2025 00:00,5.0
INV00133,18433,Rendang,3,02/03/2025 00:00,30.0
INV00134,84569,Ayam Geprek,1,02/14/2025 00:00,22.0
INV00134,17696,Rendang,3,02/14/2025 00:00,30.0
INV00134,94341,Es Teh,3,02/14/2025 00:00,5.0
INV00134,41304,Nasi Goreng,1,02/14/2025 00:00,20.0
INV00134,49039,Soto Ayam,3,02/14/2025 00:00,20.0
INV00135,32725,Mie Ayam,2,03/31/2025 00:00,15.0
INV00135,25263,Rendang,2,03/31/2025 00:00,30.0
INV00135,60069,Bakso,1,03/31/2025 00:00,18.0
INV00135,95472,Nasi Goreng,1,03/31/2025 00:00,20.0
INV00136,82696,Bakso,1,03/25/2025 00:00,18.0
INV00136,57542,Jus Alpukat,1,03/25/2025 00:00,10.0
INV00137,65094,Bakso,1,03/27/2025 00:00,18.0
INV00137,20972,Ayam Geprek,1,03/27/2025 00:00,22.0
INV00137,76286,Sate Ayam,1,03/27/2025 00:00,25.0
INV00137,52856,Nasi Goreng,1,03/27/2025 00:00,20.0
INV00137,97713,Soto Ayam,2,03/27/2025 00:00,20.0
INV00138,89180,Rendang,3,02/20/2025 00:00,30.0
INV00138,98448,Soto Ayam,1,02/20/2025 00:00,20.0
INV00138,96078,Ayam Geprek,2,02/20/2025 00:00,22.0
INV00138,24645,Kopi Susu,2,02/20/2025 00:00,12.0
INV00139,15031,Kopi Susu,2,02/23/2025 00:00,12.0
INV00139,29333,Jus Alpukat,3,02/23/2025 00:00,10.0
INV00139,98084,Sate Ayam,3,02/23/2025 00:00,25.0
INV00139,36201,Es Teh,3,02/23/2025 00:00,5.0
INV00140,75687,Rendang,2,03/13/2025 00:00,30.0
INV00140,27069,Jus Alpukat,3,03/13/2025 00:00,10.0
INV00140,21252,Mie Ayam,1,03/13/2025 00:00,15.0
INV00141,10022,Jus Alpukat,2,03/08/2025 00:00,10.0
INV00141,88563,Bakso,3,03/08/2025 00:00,18.0
INV00141,63250,Rendang,3,03/08/2025 00:00,30.0
INV00141,42617,Mie Ayam,3,03/08/2025 00:00,15.0
INV00142,75700,Bakso,3,03/03/2025 00:00,18.0
INV00142,32864,Mie Ayam,1,03/03/2025 00:00,15.0
INV00142,83615,Ayam Geprek,3,03/03/2025 00:00,22.0
INV00143,39340,Jus Alpukat,2,02/11/2025 00:00,10.0
INV00143,79574,Rendang,3,02/11/2025 00:00,30.0
INV00143,39856,Bakso,3,02/11/2025 00:00,18.0
INV00143,21119,Soto Ayam,1,02/11/2025 00:00,20.0
INV00143,94746,Kopi Susu,2,02/11/2025 00:00,12.0
INV00144,26364,Es Teh,2,02/17/2025 00:00,5.0
INV00144,91356,Ayam Geprek,3,02/17/2025 00:00,22.0
INV00144,57635,Jus Alpukat,2,02/17/2025 00:00,10.0
INV00144,99379,Bakso,3,02/17/2025 00:00,18.0
INV00144,24600,Nasi Goreng,2,02/17/2025 00:00,20.0
